dataset,task_type,model,shot_count,seed,sample_id,loop_index,predicted,gt,correct,latency_ms,input_tokens,output_tokens,elapsed_s
sequence,singlelabel_classification,gemini-3.5-flash-lite,0,0,pep_06258,1,non binder,non binder,True,1168.6,125,3,1.169
sequence,singlelabel_classification,gemini-3.5-flash-lite,0,0,pep_12195,1,binder,binder,True,804.1,122,1,0.804
sequence,singlelabel_classification,gemini-3.5-flash-lite,0,0,pep_06820,1,binder,non binder,False,701.9,124,1,0.702
sequence,singlelabel_classification,gemini-3.5-flash-lite,1,0,pep_06820,2,binder,non binder,False,845.8,155,1,1.548
sequence,singlelabel_classification,gemini-3.5-flash-lite,4,0,pep_06820,3,non binder,non binder,True,1119.7,252,3,2.667
sequence,singlelabel_classification,gemini-3.5-flash-lite,0,0,pep_15787,1,binder,binder,True,990.3,121,1,0.99
sequence,singlelabel_classification,gemini-3.5-flash-lite,0,0,pep_26493,1,binder,binder,True,925.0,123,1,0.925
sequence,singlelabel_classification,gemini-3.5-flash-lite,0,0,pep_26509,1,binder,binder,True,782.7,123,1,0.783
sequence,singlelabel_classification,gemini-3.5-flash-lite,0,0,pep_31646,1,binder,non binder,False,803.7,123,1,0.804
sequence,singlelabel_classification,gemini-3.5-flash-lite,1,0,pep_31646,2,binder,non binder,False,757.3,154,1,1.561
sequence,singlelabel_classification,gemini-3.5-flash-lite,4,0,pep_31646,3,binder,non binder,False,867.7,251,1,2.429
sequence,singlelabel_classification,gemini-3.5-flash-lite,16,0,pep_31646,4,non binder,non binder,True,848.7,636,3,3.277
sequence,singlelabel_classification,gemini-3.5-flash-lite,0,0,pep_51756,1,binder,non binder,False,818.1,122,1,0.818
sequence,singlelabel_classification,gemini-3.5-flash-lite,1,0,pep_51756,2,binder,non binder,False,659.9,153,1,1.478
sequence,singlelabel_classification,gemini-3.5-flash-lite,4,0,pep_51756,3,binder,non binder,False,929.7,250,1,2.408
sequence,singlelabel_classification,gemini-3.5-flash-lite,16,0,pep_51756,4,binder,non binder,False,619.5,635,1,3.027
sequence,singlelabel_classification,gemini-3.5-flash-lite,0,0,pep_14559,1,binder,binder,True,1073.2,124,1,1.073
sequence,singlelabel_classification,gemini-3.5-flash-lite,0,0,pep_31229,1,binder,non binder,False,667.7,122,1,0.668
sequence,singlelabel_classification,gemini-3.5-flash-lite,1,0,pep_31229,2,binder,non binder,False,52529.3,153,1,53.197
sequence,singlelabel_classification,gemini-3.5-flash-lite,4,0,pep_31229,3,non binder,non binder,True,1212.1,250,3,54.409
sequence,singlelabel_classification,gemini-3.5-flash-lite,0,0,pep_38198,1,binder,binder,True,746.0,121,1,0.746
sequence,singlelabel_classification,gemini-3.5-flash-lite,0,0,pep_13563,1,binder,non binder,False,783.9,124,1,0.784
sequence,singlelabel_classification,gemini-3.5-flash-lite,1,0,pep_13563,2,binder,non binder,False,1276.8,155,1,2.061
sequence,singlelabel_classification,gemini-3.5-flash-lite,4,0,pep_13563,3,binder,non binder,False,937.8,252,1,2.998
sequence,singlelabel_classification,gemini-3.5-flash-lite,16,0,pep_13563,4,non binder,non binder,True,978.0,637,3,3.976
sequence,singlelabel_classification,gemini-3.5-flash-lite,0,0,pep_28341,1,non binder,non binder,True,5194.5,122,3,5.195
